# 五笔画词库，格式：词组\t编码\t权重
# 参考单手笔顺输入法码表: https://github.com/YQ-YSY/stroke-seq_MB 移除了部分不常用汉字
瑔	1121325112534	5
琕	112132511312	0
瑰	1121325113554	30
璬	11213251141533134	5
瑦	11213251154444	0
瑀	1121325125214	5
瑡	11213251511252	0
珦	1121325251	5
顸	112132534	10
璁	112132535414544	10
瓆	1121331233122511134	0
珩	1121332112	10
珘	1121335414	0
玐	112134	0
兲	112134	0
琻	112134112431	0
珨	1121341251	0
瑜	1121341251122	10
琋	11213413252	0
珧	1121341534	10
璠	1121343123425121	10
玠	11213432	10
珍	112134333	100
瑗	1121344311354	10
瑶	11213443311252	10
瑫	11213443321511	0
瑷	11213443451354	5
琈	11213443521	5
玪	11213445	0
琀	11213445251	5
玲	112134454	10
玢	11213453	10
玜	11213454	0
玱	11213455	5
玑	112135	10
玥	11213511	10
珮	1121351252	0
珟	1121351354	0
琘	112135152511	0
𬍛	112135234	5
珎	112135234	0
玽	112135251	0
珣	1121352511	10
瑍	1121352534134	0
表	11213534	1608
珊	112135351	16
珋	112135352	5
麦	1121354	146
玖	1121354	30
玓	1121354	5
玬	11213541	0
琒	11213541112	0
麸	11213541134	10
麺	1121354132522111	0
珞	1121354251	10
麹	112135435431234	5
瑠	11213545325121	0
琤	1121355112	10
玸	112135515	0
玉	11214	112
玊	11214	0
琂	11214111251	0
𤫉	112141112514334433454	5
玣	11214124	0
琼	112141251234	30
瓖	112141251251112213534	5
瓌	11214125221241343534	0
璮	11214125251125111	5
玟	11214134	5
斑	112141341121	30
珳	11214134333	0
珓	1121413434	0
琗	112141343412	0
璃	11214134522554	213
瑭	11214135112251	10
琣	112141431251	0
璋	112141431251112	10
璄	112141431251135	0
瓋	112141432512251454	0
𤧛	1121414345252	5
璇	112141533152134	10
琉	11214154325	30
珫	1121415435	5
玹	112141554	5
珜	1121431112	0
瑳	1121431113121	5
琷	11214311135	0
班	1121431121	403
璘	1121431234354152	10
瑐	1121431251122	0
璲	1121431353334454	5
璔	1121432524312511	0
琰	112143344334	10
珶	11214351523	0
璖	112144115151234	0
珱	1121443531	0
琮	112144511234	10
琓	11214451135	0
琔	112144512134	5
瑄	1121445125111	10
璌	112144512512134	0
琯	112144525151	10
瑸	11214453212134	0
瑏	1121445341523	0
瑢	11214453434251	5
琬	112144535455	10
琅	11214511534	30
瑯	112145115452	0
璭	1121451251112454	0
珲	1121451512	10
琛	112145341234	10
迋	1121454	0
珌	112145434	5
匞	11215	0
玌	11215	0
珒	1121511112	5
𬍤	1121511124	5
璶	112151121444425221	0
璛	11215112322151512	0
琭	112151124134	5
珺	11215113251	5
珢	1121511534	5
瑕	1121512115154	10
琚	112151312251	10
玦	11215134	10
玘	1121515	5
珉	112151515	10
瑉	1121515152511	0
瓍	112152131212511454	0
瑂	1121521325111	5
玏	112153	0
珈	112153251	10
玿	112153251	5
玻	112153254	213
玚	1121533	5
敖	1121533134	10
聱	1121533134122111	10
獒	11215331341344	10
嗸	1121533134251	0
鼇	11215331342511251211511	0
螯	1121533134251214	10
嶅	1121533134252	5
赘	11215331342534	30
摮	11215331343112	0
鏊	112153313434112431	10
鳌	112153313435251211	10
謷	11215331344111251	0
熬	11215331344444	21
遨	1121533134454	10
嫯	1121533134531	0
骜	1121533134551	10
珕	1121535353	5
式	112154	577
珝	1121541541	5
璆	112154154134333	5
璻	112154154141343412	0
珆	112154251	0
璒	1121543341251431	5
玧	11215435	0
瑵	1121544251214	0
瑈	1121545231234	0
璚	1121545232534251	0
玛	1121551	30
璏	1121551311341535	0
瑑	1121551353334	5
毒	112155414	188
纛	1121554142511112343554234	10
素	1121554234	289
繛	112155423421251112	0
璅	112155525111234	0
瑙	1121555325341	30
甙	11221154	0
冓	1122125211	0
顜	1122125211132511134	0
觏	11221252112535	10
斠	11221252114412	5
遘	1122125211454	5
匿	1122132515	30
慝	11221325154544	10
刊	11222	50
匶	1122324111213215115	0
盂	11225221	10
攼	1123134	0
鳱	11232511154444	0
示	11234	509
未	11234	328
末	11234	51
祘	1123411234	0
膥	11234135534253434	0
唜	1123425135	0
斄	1123431341312343434	0
釐	112343134132511211	5
漦	112343134132534	5
孷	11234313413521	0
剺	1123431341353	0
嫠	11234313413531	10
覝	11243342511135	0
迂	112454	30
迀	112454	0
貮	11251113454	0
击	11252	644
邗	11252	10
邘	11252	5
幵	113112	0
栞	1131121234	0
郉	11311252	0
开	1132	3483
井	1132	147
亓	1132	10
坓	1132121	0
刑	113222	115
型	113222121	317
汬	11322534	0
雃	113232411121	0
形	1132333	1117
丼	11324	1
烎	11324334	0
进	1132454	3920
奭	113251113251134	10
邢	113252	10
戒	1132534	42
刱	11325344	0
天	1134	5226
夫	1134	498
鄻	11341134125111252	0
辇	113411341512	10
替	113411342511	352
賛	113411342511134	0
鄼	11341134251113452	0
蠺	113411342511251214251214	0
蝅	11341134251214	0
沗	113424134	0
忝	11342444	10
吞	1134251	30
昋	11342511	0
嫢	11342511135531	0
奣	113425113511	0
蚕	1134251214	62
匲	11342512512515	0
规	11342535	752
椝	113425351234	0
鬶	113425351251254312	5
鳺	113432511154444	0
鴌	113432511154444	0
匧	113434345	0
迗	1134454	0
邞	113452	0
无	1135	1997
元	1135	325
坖	1135121	0
顽	1135132534	56
刓	113522	0
鼋	113525125115	10
戎	113534	30
远	1135454	1036
邧	113552	0
兘	113554251	0
忈	114544	0
亏	115	71
亐	115	0
韦	1152	10
韨	115213544	5
匦	11521355	10
韫	1152251125221	10
韬	11523443321511	10
违	1152454	113
夀	11525121251124	0
韧	1152534	11
戋	11534	5
刬	1153422	5
盏	1153425221	50
专	1154	602
云	1154	207
弌	1154	0
魂	1154325113554	46
叆	11543443451354	10
运	1154454	1192
叇	115451124134454	5
动	115453	5030
迃	115454	0
十	12	4082
丁	12	30
丅	12	0
工	121	5185
土	121	858
士	121	585
扌	121	0
拝	12111112	0
揳	121111253134	10
捧	12111134112	120
埲	12111134112	0
揍	121111341134	25
堾	121111342511	5
搸	1211113431234	0
摏	12111134321511	5
挷	121111352	0
垹	121111352	0
圩	121112	10
扞	121112	5
扜	121112	0
抂	1211121	0
匪	1211121115	118
挵	1211121132	0
埥	12111212511	0
掅	12111212511	0
拭	121112154	13
塐	1211121554234	0
搆	1211122125211	0
抹	12111234	50
抺	12111234	0
款	121112343534	65
隷	1211123451124134	0
扶	1211134	67
撵	121113411341512	10
攅	121113411342511134	0
掭	12111342444	5
摫	12111342511135	0
抚	1211135	13
坃	1211135	0
抏	1211135	0
圬	121115	10
扝	121115	0
坛	1211154	30
抟	1211154	10
抎	1211154	0
镸	1211154	0
镾	121115413425234343434	0
镽	1211154134432511234	0
瓺	12111541554	0
镻	121115431134	0
镺	12111543134	0
髟	1211154333	0
鬊	1211154333111342511	0
髨	12111543331135	0
髻	1211154333121251	10
鬐	12111543331213352511	0
髶	1211154333122111	0
鬗	121115433312212523434	0
髸	1211154333122134	0
髰	121115433312215	0
鬕	12111543331222511134	0
鬒	12111543331225111134	5
髤	12111543331234	0
鬎	1211154333125123422	0
髩	12111543331255	0
鬌	1211154333131212511	0
髬	121115433313241	0
髵	1211154333132522	0
髡	1211154333135	10
髪	12111543331354	0
髭	1211154333212135	10
髾	12111543332432511	0
髥	12111543332511	0
鬝	1211154333251125112511	0
鬜	1211154333251125113511	0
鬘	121115433325112522154	5
鬄	121115433325113533	0
髷	1211154333251221	0
鬞	12111543332512211311534	0
髯	121115433325211	10
鬟	12111543332522112513534	10
鬛	1211154333253415445445	0
髦	12111543333115	14
髺	1211154333312251	0
鬁	12111543333123422	0
鬏	1211154333312344334	10
鬂	12111543333212134	0
髹	1211154333321234	10
髽	12111543333434121	5
鬉	1211154333345234354	0
髠	121115433335	0
鬅	121115433335113511	0
髼	12111543333541112	0
鬔	12111543333541112454	0
鬇	1211154333355112	0
髱	121115433335515	0
鬤	121115433341251251112213534	0
髣	12111543334153	0
鬈	121115433343113455	10
鬋	1211154333431251122	0
鬑	12111543334315112234	0
鬙	1211154333432524312511	0
鬀	12111543334351523	0
髿	12111543334412343	0
鬃	121115433344511234	10
鬓	12111543334453212134	30
鬡	121115433344545442522112	0
髧	12111543334535	0
髴	121115433351532	0
髢	1211154333525	5
髫	121115433353251	10
髲	121115433353254	0
髳	121115433354523	0
鬣	1211154333555253415445445	10
镹	1211154354	0
肆	1211154511112	30
镼	121115451352252	0
打	12112	2265
圢	12112	5
扛	121121	46
圭	121121	10
扗	121121	0
掁	12112111534	0
挂	121121121	270
垚	121121121	5
壵	121121121	0
墝	121121121121135	0
顤	121121121135132511134	0
遶	121121121135454	0
持	121121124	601
封	121121124	400
堼	121121124121	5
鞤	121121124122125112	0
幇	121121124252	0
犎	1211211243112	0
奊	121121154	0
墕	12112121154444	5
刲	12112122	0
卦	12112124	30
拮	121121251	10
摃	1211212511134	0
鼃	1211212511251211511	0
撷	121121251132534	10
擡	12112125145154121	0
郌	1211212515215	0
拷	121121315	30
捇	1211213234	0
擮	12112132411121534	0
堵	12112132511	78
搘	1211213352511	0
堎	12112134354	5
掕	12112134354	0
撎	121121451251431	0
恚	1211214544	10
壔	12112151211251124	0
邽	12112152	5
劸	12112153	0
抾	12112154	0
搕	1211215425221	0
坩	12112211	10
拑	12112211	0
挕	121122111	0
掑	12112211134	0
撕	121122111343312	58
堪	121122111345	29
揕	121122111345	5
墈	12112211134553	5
摂	1211221114134	0
揶	12112211152	10
掫	12112211154	0
摄	1211221115454	128
墷	1211221122112	0
撶	1211221122112	0
擆	12112212132511	0
墸	12112212132511	0
壒	1211221215425221	0
搑	121122122111	0
擛	121122122151234	0
措	12112212511	101
墐	12112212511121	5
擹	121122125111343534	0
撒	121122125113134	68
墴	12112212512134	0
撗	12112212512134	0
掿	12112213251	0
拱	121122134	78
垬	121122134	0
塨	1211221342444	0
塂	121122134515	0
抴	12112215	0
堞	121122151234	10
揲	121122151234	0
摸	1211222511134	284
塻	1211222511134	0
擖	121122251135345	0
描	12112225121	56
壦	12112225125132411121	0
埖	1211223235	0
擭	1211223241112154	0
搽	121122341234	10
搭	121122341251	85
塔	121122341251	49
擏	121122352513134	0
攃	12112235445411234	0
塃	121122415325	0
垭	121122431	10
挜	121122431	0
搢	1211224312511	0
捞	1211224553	68
𫭼	1211224553	5
埴	12112251111	10
填	1211225111134	53
搷	1211225111134	0
攧	1211225111134132511134	0
撠	121122511121534	0
墘	12112251112315	5
擀	1211225111234112	10
壊	1211225221413534	0
揇	121122543112	0
擜	1211225431121344	0
揸	121123425111	10
栽	1211234534	54
寺	121124	30
圷	121124	0
捄	1211241344	0
墙	12112431252511	264
挝	121124454	10
邿	12112452	5
挬	1211245521	0
垣	121125111	10
捙	1211251112	0
搟	1211251112112	0
摲	12112511123312	0
摙	1211251112454	0
塼	12112511214124	0
捕	1211251124	103
埔	1211251124	10
搏	1211251124124	26
埂	1211251134	30
挭	1211251134	0
堰	121125115315	12
揠	121125115315	10
域	12112511534	124
掝	12112511534	0
坷	12112512	30
抲	12112512	0
壃	1211251211251211	0
捒	1211251234	0
揦	121125123422	0
摗	12112512343534	0
攮	1211251245251251112213534	10
挋	121125125	0
捂	1211251251	22
堛	121125125121	0
揊	121125125121	0
壏	12112512531425221	0
塥	1211251254312	5
搹	1211251254312	0
摼	12112512554121	0
摽	12112522111234	10
墂	12112522111234	0
堙	121125221121	10
塛	1211252211234	0
搮	1211252211234	0
撢	121125221251112	0
㙘	121125221531	5
拺	121125234	0
抦	12112534	0
拪	121125351	0
酨	1211253511534	0
技	1211254	712
攦	1211254125441352211535	0
堜	121125431234	0
駴	12112544441132534	0
駥	1211254444113534	0
騳	12112544441211254444	0
驖	12112544441212511121534	0
驝	121125444412145132511234	0
駬	1211254444122111	0
騹	121125444412212511121	0
