# 拼音词库，参考 https://gitee.com/hades001/rime-aurora-pinyin.git
# 以下为《通用规范汉字表》中的汉字
穴	xue	30
它	ta	2984
讨	tao	278
写	xie	1171
让	rang	974
礼	li	114
训	xun	184
议	yi	570
必	bi	1102
讯	xun	132
记	ji	1280
永	yong	303
司	si	309
尼	ni	30
民	min	4675
弗	fu	30
弘	hong	30
出	chu	6753
辽	liao	32
奶	nai	401
奴	nu	73
召	zhao	235
召	shao	30
加	jia	1861
皮	pi	519
边	bian	2406
孕	yun	30
发	fa	5088
圣	sheng	28
对	dui	5013
台	tai	530
矛	mao	279
纠	jiu	68
母	mu	700
幼	you	66
丝	si	186
邦	bang	13
式	shi	577
迂	yu	30
刑	xing	115
戎	rong	30
动	dong	5030
扛	gang	30
扛	kang	46
寺	si	30
吉	ji	13
扣	kou	62
考	kao	334
托	tuo	101
老	lao	3598
巩	gong	125
圾	ji	38
执	zhi	218
扩	kuo	159
扫	sao	134
地	de	7394
地	di	4976
场	chang	914
扬	yang	179
耳	er	176
芋	yu	30
共	gong	1298
芒	mang	35
亚	ya	26
芝	zhi	11
朽	xiu	42
朴	piao	30
朴	po	30
朴	pu	63
机	ji	2563
权	quan	483
过	guo	6396
臣	chen	15
吏	li	30
再	zai	1697
协	xie	150
西	xi	1640
压	ya	625
厌	yan	67
戌	xu	30
在	zai	19364
百	bai	1559
有	you	17798
存	cun	460
而	er	3483
页	ye	35
匠	jiang	86
夸	kua	43
夺	duo	197
灰	hui	189
达	da	557
列	lie	270
死	si	931
成	cheng	4479
夹	ga	30
夹	jia	118
夷	yi	30
轨	gui	72
邪	xie	30
邪	ye	30
尧	yao	30
划	hua	506
划	huai	30
迈	mai	83
毕	bi	149
至	zhi	787
此	ci	1111
贞	zhen	30
师	shi	1142
尘	chen	81
尖	jian	168
劣	lie	26
光	guang	1636
当	dang	2997
早	zao	1022
吁	xu	20
吁	yu	12
吐	tu	111
吓	he	30
吓	xia	135
虫	chong	553
曲	qu	164
团	tuan	887
吕	lv	30
同	tong	4685
吊	diao	59
吃	chi	1684
因	yin	1919
吸	xi	371
吗	ma	1549
吆	yao	37
屿	yu	30
屹	yi	18
岁	sui	519
帆	fan	22
回	hui	2949
岂	qi	51
则	ze	535
刚	gang	873
网	wang	120
肉	rou	278
年	nian	5553
朱	zhu	30
先	xian	1962
丢	diu	144
廷	ting	30
舌	she	59
竹	zhu	96
迁	qian	34
乔	qiao	30
迄	qi	30
伟	wei	575
传	zhuan	12
传	chuan	704
乒	ping	29
乓	pang	29
休	xiu	197
伍	wu	216
伏	fu	100
优	you	287
臼	jiu	30
伐	fa	52
延	yan	55
仲	zhong	30
件	jian	1163
任	ren	1235
伤	shang	393
价	jia	430
价	jie	30
伦	lun	30
份	fen	178
华	hua	29
仰	yang	70
仿	fang	273
伙	huo	519
伪	wei	48
自	zi	4664
伊	yi	13
血	xue	349
血	xie	69
向	xiang	2542
似	shi	599
似	si	401
后	hou	4342
行	hang	218
行	xing	2943
舟	zhou	13
全	quan	2824
会	kuai	9
会	hui	6866
杀	sha	275
合	ge	30
合	he	1585
兆	zhao	30
企	qi	244
众	zhong	1149
爷	ye	952
伞	san	57
创	chuang	448
肌	ji	43
肋	le	30
肋	lei	30
朵	duo	242
杂	za	356
危	wei	308
旬	xun	25
旨	zhi	30
旭	xu	30
负	fu	347
匈	xiong	30
名	ming	767
各	ge	1806
多	duo	5568
争	zheng	1708
色	shai	30
色	se	950
壮	zhuang	174
冲	chong	461
妆	zhuang	30
冰	bing	167
庄	zhuang	337
庆	qing	51
亦	yi	35
刘	liu	30
齐	qi	190
交	jiao	642
衣	yi	646
次	ci	1715
产	chan	4099
决	jue	1503
亥	hai	30
充	chong	375
妄	wang	48
闭	bi	117
问	wen	2892
闯	chuang	55
羊	yang	216
并	bing	1420
关	guan	1758
米	mi	784
灯	deng	483
州	zhou	30
汗	han	47
污	wu	107
江	jiang	299
汛	xun	12
池	chi	72
汝	ru	30
汤	tang	55
汤	shang	30
忙	mang	686
兴	xing	663
宇	yu	144
守	shou	218
宅	zhai	61
字	zi	814
安	an	596
讲	jiang	974
讳	hui	30
军	jun	1842
讶	ya	33
许	hu	30
许	xu	1465
讹	e	30
论	lun	1472
讼	song	27
农	nong	1281
讽	feng	14
设	she	1097
访	fang	73
诀	jue	30
寻	xun	127
寻	xin	14
那	na	7249
那	nei	30
迅	xun	191
尽	jin	378
导	dao	1403
异	yi	146
弛	chi	30
孙	sun	19
阵	zhen	577
阳	yang	513
收	shou	768
阶	jie	1888
阴	yin	148
防	fang	375
奸	jian	20
如	ru	2323
妇	fu	349
妃	fei	30
好	hao	6317
她	ta	4477
妈	ma	2007
戏	hu	30
戏	xi	205
羽	yu	16
观	guan	1031
欢	huan	500
买	mai	774
红	gong	30
红	hong	839
驮	duo	30
驮	tuo	27
纤	qian	30
纤	xian	197
驯	xun	30
约	yue	553
约	yao	30
级	ji	2047
纪	ji	467
驰	chi	35
纫	ren	30
巡	xun	12
寿	shou	20
弄	nong	319
弄	long	30
麦	mai	146
玖	jiu	30
玛	ma	30
形	xing	1117
进	jin	3920
戒	jie	42
吞	tun	30
远	yuan	1036
违	wei	113
韧	ren	11
运	yun	1192
扶	fu	67
抚	fu	13
坛	tan	30
技	ji	712
坏	huai	615
抠	kou	30
扰	rao	32
扼	e	30
拒	ju	59
找	zhao	1043
批	pi	694
址	zhi	24
扯	che	88
走	zou	3176
抄	chao	70
贡	gong	97
汞	gong	22
坝	ba	24
攻	gong	313
赤	chi	34
折	zhe	220
折	she	11
抓	zhua	403
扳	ban	21
抡	lun	11
扮	ban	46
抢	qiang	131
孝	xiao	30
坎	kan	10
均	jun	204
抑	yi	53
抛	pao	51
投	tou	264
坟	fen	46
坑	keng	90
抗	kang	663
坊	fang	11
抖	dou	118
护	hu	468
壳	ke	67
壳	qiao	30
志	zhi	2082
块	kuai	929
扭	niu	95
声	sheng	2326
把	ba	5330
报	bao	1019
拟	ni	22
却	que	1157
抒	shu	30
劫	jie	30
芙	fu	30
芜	wu	30
苇	wei	32
芽	ya	31
花	hua	1221
芹	qin	30
芥	gai	30
芥	jie	30
芬	fen	30
苍	cang	69
芳	fang	30
严	yan	633
芦	lu	74
芯	xin	14
劳	lao	856
克	ke	172
芭	ba	30
苏	su	33
杆	gan	136
杠	gang	30
杜	du	16
材	cai	525
村	cun	806
杖	zhang	30
杏	xing	30
杉	sha	30
杉	shan	17
巫	wu	30
极	ji	911
李	li	36
杨	yang	77
求	qiu	818
甫	fu	12
匣	xia	30
更	geng	1432
束	shu	231
吾	wu	30
豆	dou	127
两	liang	3229
酉	you	30
丽	li	215
医	yi	460
辰	chen	30
励	li	93
否	pi	30
否	fou	230
还	huan	103
还	hai	5894
尬	ga	30
歼	jian	96
来	lai	14549
连	lian	1073
轩	xuan	30
步	bu	1113
卤	lu	30
坚	jian	695
肖	xiao	50
旱	han	59
盯	ding	65
呈	cheng	40
时	shi	6805
吴	wu	30
助	zhu	464
县	xuan	30
县	xian	429
里	li	8821
呆	dai	136
呆	ai	30
吱	zhi	30
吱	zi	30
吠	fei	30
呕	ou	30
园	yuan	258
旷	kuang	14
围	wei	654
呀	ya	1416
吨	dun	157
足	zu	310
邮	you	32
男	nan	249
困	kun	386
吵	chao	85
串	chuan	104
员	yuan	1766
员	yun	30
呐	na	13
呐	ne	2307
听	ting	2076
吟	yin	24
吩	fen	48
呛	qiang	30
吻	wen	10
吹	chui	239
呜	wu	11
吭	keng	10
吭	hang	30
吧	ba	2073
邑	yi	30
吼	hou	63
囤	dun	30
囤	tun	30
别	bie	2057
吮	shun	30
岖	qu	13
岗	gang	70
帐	zhang	172
财	cai	166
针	zhen	319
钉	ding	59
牡	mu	11
告	gao	995
我	wo	23213
乱	luan	357
利	li	1609
秃	tu	13
秀	xiu	93
私	si	114
每	mei	1245
兵	bing	536
估	gu	67
体	ti	1746
何	he	691
佐	zuo	30
佑	you	11
但	dan	2345
伸	shen	307
佃	dian	12
佃	tian	30
作	zuo	4832
伯	bai	30
伯	bo	193
伶	ling	15
佣	yong	30
低	di	664
你	ni	10944
住	zhu	1793
位	wei	1252
伴	ban	106
身	shen	2161
皂	zao	38
伺	ci	24
伺	si	30
佛	fo	30
佛	fu	252
囱	cong	28
近	jin	823
彻	che	257
役	yi	123
返	fan	48
余	yu	287
希	xi	321
坐	zuo	1018
谷	gu	145
谷	yu	30
妥	tuo	53
含	han	320
邻	lin	35
岔	cha	30
肝	gan	56
肛	gang	30
肚	du	171
肘	zhou	30
肠	chang	82
龟	gui	11
龟	jun	30
龟	qiu	30
甸	dian	28
免	mian	193
狂	kuang	101
犹	you	57
狈	bei	13
角	jue	14
角	jiao	392
删	shan	30
条	tiao	1643
彤	tong	30
卵	luan	87
灸	jiu	30
岛	dao	190
刨	bao	30
刨	pao	12
迎	ying	135
饭	fan	557
饮	yin	43
系	ji	15
系	xi	1367
言	yan	307
冻	dong	133
状	zhuang	268
亩	mu	107
况	kuang	719
床	chuang	379
库	ku	91
庇	bi	30
疗	liao	85
吝	lin	30
应	ying	1658
这	zhe	16714
这	zhei	30
冷	leng	453
庐	lu	30
序	xu	131
辛	xin	90
弃	qi	51
冶	ye	61
忘	wang	312
闰	run	30
闲	xian	89
间	jian	2132
闷	men	75
判	pan	252
兑	dui	30
灶	zao	25
灿	can	37
灼	zhuo	30
弟	di	448
汪	wang	20
沐	mu	30
沐	shu	30
沛	pei	8
汰	tai	9
沥	li	28
沙	sha	425
汽	qi	676
